# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.13548562      	smoothSolver	4.20489170e-04	2.06369500e-09	3	2.50959030e-03	3.28671360e-10	4	5.45710240e-03	5.31896010e-09	4	false	GAMG	5.31035860e-03	4.26150370e-05	4	true
0.13697001      	smoothSolver	4.19198830e-04	2.05116150e-09	3	2.50077170e-03	3.26831610e-10	4	5.42869280e-03	5.41119920e-09	4	false	GAMG	5.58545200e-03	4.67990070e-05	4	true
0.13845561      	smoothSolver	4.17933600e-04	2.04199650e-09	3	2.49400800e-03	3.25560150e-10	4	5.37568190e-03	5.36393640e-09	4	false	GAMG	4.90132960e-03	4.35453270e-05	4	true
0.1399424       	smoothSolver	4.16656980e-04	2.03129130e-09	3	2.48576300e-03	3.23989510e-10	4	5.35738080e-03	5.32731250e-09	4	false	GAMG	5.01811860e-03	4.27606350e-05	4	true
0.14143038      	smoothSolver	4.15283830e-04	2.02062380e-09	3	2.47791020e-03	3.22626140e-10	4	5.37757450e-03	5.39643530e-09	4	false	GAMG	5.20489520e-03	4.39508760e-05	4	true
0.14291954      	smoothSolver	4.14036610e-04	2.01055010e-09	3	2.46927190e-03	3.21059430e-10	4	5.37181690e-03	5.40779590e-09	4	false	GAMG	4.72422710e-03	4.23667720e-05	4	true
0.14440989      	smoothSolver	4.12739500e-04	2.00081110e-09	3	2.46078430e-03	3.19574760e-10	4	5.69358470e-03	5.98760820e-09	4	false	GAMG	4.72166060e-03	4.11217960e-05	4	true
0.14590141      	smoothSolver	4.11448130e-04	1.99093410e-09	3	2.45263440e-03	3.18273550e-10	4	6.74688310e-03	7.01982290e-09	4	false	GAMG	5.27581630e-03	4.03825050e-05	4	true
0.1473941       	smoothSolver	4.10090450e-04	1.98064200e-09	3	2.44397100e-03	3.17085440e-10	4	5.25243090e-03	5.06152980e-09	4	false	GAMG	5.25172820e-03	4.39703510e-05	4	true
0.14888795      	smoothSolver	4.08921740e-04	1.97187350e-09	3	2.43583170e-03	3.15935650e-10	4	5.29133710e-03	5.24137810e-09	4	false	GAMG	4.72916500e-03	4.09035240e-05	4	true
0.15038295      	smoothSolver	4.07634070e-04	1.96235820e-09	3	2.42708200e-03	3.14700940e-10	4	5.29584760e-03	5.02092260e-09	4	false	GAMG	4.84629770e-03	4.07785060e-05	4	true
0.1518791       	smoothSolver	4.06366740e-04	1.95262270e-09	3	2.41857210e-03	3.13606420e-10	4	5.40764310e-03	5.02089360e-09	4	false	GAMG	4.88120680e-03	4.05565790e-05	4	true
0.15337639      	smoothSolver	4.05049500e-04	1.94445960e-09	3	2.41084140e-03	3.12629710e-10	4	5.79453410e-03	5.55363700e-09	4	false	GAMG	4.74216190e-03	3.91049410e-05	4	true
0.15487482      	smoothSolver	4.03650840e-04	1.93611580e-09	3	2.40251540e-03	3.11653920e-10	4	5.51218040e-03	5.18753620e-09	4	false	GAMG	4.81946600e-03	3.76236300e-05	4	true
0.15637439      	smoothSolver	4.02253370e-04	1.92644900e-09	3	2.39397080e-03	3.10673390e-10	4	5.08524440e-03	4.68309550e-09	4	false	GAMG	4.80978900e-03	4.20944060e-05	4	true
