signal,phase_rad,phase_deg,mean_value,scaled_value
Cm,0.7199483164476609,41.25,0.008123635988666668,0.22006959799547338
Cm,0.8508480103472356,48.74999999999999,0.008324159852857144,0.6256748167278194
Cm,0.9817477042468103,56.25,0.008316151933499999,0.6094769746626949
Cm,1.1126473981463851,63.75000000000001,0.0076192840837254906,-0.8000970816543117
Cm,1.2435470920459597,71.25,0.007747170529183674,-0.5414175978313961
Cm,1.3744467859455343,78.74999999999999,0.007860897431739133,-0.31137901677282226
Cm,1.5053464798451093,86.25,0.008296357249090908,0.5694377138400513
Cm,1.6362461737446838,93.75,0.0079552224768,-0.12058511456919223
Cm,1.7671458676442584,101.24999999999999,0.008083034752264151,0.1379443435359658
Cm,1.8980455615438332,108.74999999999999,0.008159728589000001,0.2930751083965445
Cm,2.028945255443408,116.25,0.008104638988913043,0.18164383619682534
Cm,2.1598449493429825,123.74999999999999,0.007411084340789473,-1.2212285146361057
Cm,2.290744643242557,131.24999999999997,0.007192340590789475,-1.6636876050953109
Cm,2.421644337142132,138.75,0.007885933943,-0.26073696642507377
Cm,2.5525440310417067,146.25,0.008085251132580644,0.14242747788356266
Cm,2.6834437249412817,153.75,0.008417069432580646,0.8136056176737122
Cm,2.8143434188408563,161.25,0.008663971200322581,1.3130207167925092
Cm,2.945243112740431,168.75,0.008751455776296296,1.4899782111873874
Cm,3.0761428066400054,176.24999999999997,0.0088904640783871,1.7711541849437837
Cm,3.2070425005395804,183.75,0.008756664727777778,1.5005145027831133
Cm,3.337942194439155,191.25,0.0086930785208,1.3718969065997317
Cm,3.4688418883387295,198.74999999999997,0.008644004013103447,1.2726325297197056
Cm,3.5997415822383045,206.25,0.0084079158868,0.795090485055837
Cm,3.730641276137879,213.75,0.00824119831625,0.45786620034314524
Cm,3.8615409700374537,221.24999999999997,0.008352676269583333,0.6833557690193728
Cm,3.9924406639370282,228.74999999999997,0.008040696806923077,0.05230619941745505
Cm,4.123340357836604,236.25,0.008014527122222222,-0.0006279524856021358
Cm,4.254240051736177,243.74999999999994,0.0075625095282758625,-0.9149365601101228
Cm,4.385139745635753,251.25,0.0073317943699999985,-1.381610552331117
Cm,4.5160394395353265,258.74999999999994,0.007047067594999999,-1.9575353497065102
Cm,4.646939133434902,266.25,0.006910823634347826,-2.2331198128544654
Cm,4.777838827334477,273.75,0.006887580704444445,-2.2801339361135615
Cm,4.908738521234051,281.24999999999994,0.007113821466296296,-1.8225104304647455
Cm,5.0396382151336265,288.75,0.0073658500668,-1.3127251435773442
Cm,5.1705379090332,296.24999999999994,0.007771674531724138,-0.49185266774007264
Cm,5.301437602932776,303.75,0.008414945526226415,0.8093095329914592
Cm,5.43233729683235,311.25,0.007707417157000001,-0.621827853663045
Cm,5.563236990731925,318.74999999999994,0.007757272587142858,-0.5209838831474942
Cm,5.6941366846315,326.25,0.0076877628675000005,-0.6615831337832411
Cm,5.825036378531074,333.74999999999994,0.007996187901935485,-0.03772320539134693
Cm,5.955936072430649,341.25,0.00814890411724138,0.2711801471506987
Cm,6.086835766330223,348.74999999999994,0.008374515767666667,0.7275311315521888
Cm,6.2177354602297985,356.25,0.008583757649677419,1.150770528337012
Cl_p,0.06544984694978735,3.7499999999999996,2.5240037053693554,0.19279079736569468
Cl_p,0.19634954084936207,11.25,2.5268517077134542,0.24937978771246333
Cl_p,0.32724923474893675,18.749999999999996,2.4879903029767627,-0.5227851868224587
Cl_p,0.4581489286485115,26.25,2.516710787823929,0.047882615870326745
Cl_p,0.5890486225480862,33.75,2.5042333178347795,-0.20004113680182345
Cl_p,0.7199483164476609,41.25,2.4959217552482325,-0.36518950332309313
Cl_p,0.8508480103472356,48.74999999999999,2.50351309615688,-0.21435173512792127
Cl_p,0.9817477042468103,56.25,2.4735975915678154,-0.8087642376025052
Cl_p,1.1126473981463851,63.75000000000001,2.5186817134330917,0.08704434286195091
Cl_p,1.2435470920459597,71.25,2.5170019249945925,0.053667428012213234
Cl_p,1.3744467859455343,78.74999999999999,2.5070398824564792,-0.1442755021231769
Cl_p,1.5053464798451093,86.25,2.522688650162644,0.16666102729993593
Cl_p,1.6362461737446838,93.75,2.543128550791567,0.572795994771317
Cl_p,1.7671458676442584,101.24999999999999,2.4875706527972574,-0.5311235156185182
Cl_p,1.8980455615438332,108.74999999999999,2.460931269326492,-1.0604404304007573
Cl_p,2.028945255443408,116.25,2.516700107602851,0.04767040293842811
Cl_p,2.1598449493429825,123.74999999999999,2.5368412345122717,0.4478688222311244
Cl_p,2.290744643242557,131.24999999999997,2.593711171690258,1.577858175173409
Cl_p,2.421644337142132,138.75,2.5733638029105332,1.1735617890261913
Cl_p,2.5525440310417067,146.25,2.592880077584977,1.5613445734910105
Cl_p,2.6834437249412817,153.75,2.561688108899023,0.9415690952427042
Cl_p,2.8143434188408563,161.25,2.531523979653181,0.3422164920931772
Cl_p,2.945243112740431,168.75,2.5272891705278933,0.2580720484595985
Cl_p,3.0761428066400054,176.24999999999997,2.506439800802372,-0.1561989526083631
