theta_rad,theta_deg,z_m,Nu_mean,Nu_rms,A1,phase1_rad,A2,asym_mean_minus_opposite
1.6689710972195773,95.62499999999999,-0.0058,1.2034324654584059,0.013285129904023299,0.003657597083001363,-1.1677517031160163,0.003474797267771728,0.037215589070757726
1.7344209441693645,99.37499999999997,-0.0058,1.4104270399800198,0.015442868002894742,0.004329283940682694,-1.176286476871267,0.00397980197859041,0.05931290551311896
1.7998707911191518,103.12499999999997,-0.0058,1.5018231893180605,0.016405517660814887,0.004653974632062463,-1.1828475498509556,0.004173737635839251,0.06842827206438873
1.8653206380689396,106.875,-0.0058,1.7402897237885218,0.019106570882531006,0.0054340396803845125,-1.1848492946739309,0.004829413662539693,0.07902992293638555
1.9307704850187268,110.62499999999999,-0.0058,1.8067467972731264,0.0194799371054784,0.005643196913559866,-1.1945325197335452,0.004864628245613972,0.09159175131156116
1.9962203319685141,114.37499999999999,-0.0058,2.015506677309958,0.021638694516814376,0.006309379912126235,-1.1982602208088509,0.005369813189067286,0.10981589599774066
2.0616701789183014,118.12499999999999,-0.0058,2.1381627951670916,0.022646327291687526,0.006691544438554984,-1.2056988848046282,0.005564032869963132,0.11736253698972154
2.1271200258680887,121.87499999999997,-0.0058,2.291428547046121,0.024144366986105174,0.007172249593538244,-1.2086927082272436,0.005906481816931074,0.12375986349022883
2.192569872817876,125.62499999999997,-0.0058,2.274800824677309,0.023780919082572006,0.007124462068499996,-1.2138220118457097,0.005772888946249169,0.11631390695581123
2.2580197197676632,129.37499999999997,-0.0058,2.4065794041151025,0.024716886088699944,0.00749218717834834,-1.218312949335072,0.005980174552621244,0.12629365167795337
2.323469566717451,133.125,-0.0058,2.6281596627032267,0.02644087471197561,0.008106584717854023,-1.2219531671233335,0.006397766661347516,0.1427183663296514
2.3889194136672383,136.87499999999997,-0.0058,2.485555994537483,0.02384420567704419,0.007511599961679681,-1.2330585775698328,0.005746030979864508,0.13278047667980752
2.4543692606170255,140.62499999999997,-0.0058,2.4706294278363132,0.023236219050563972,0.007414425587388029,-1.2390648326581268,0.005569996272714906,0.12016091805482176
2.519819107566813,144.37499999999997,-0.0058,2.4419547872388145,0.022434203863957246,0.007253253501540322,-1.244499092554968,0.005370203344245066,0.11091056787458164
2.5852689545166,148.12499999999997,-0.0058,2.5377376537591623,0.022591487774515546,0.007428223941849296,-1.252098531409595,0.005401297389982701,0.10594334345262357
