x_m,x_over_Dh,T_bulk_K,Tw_minus_Tbulk_K,wall_sngrad_K_per_m,wall_face_samples,Nu_local
0.674,28.083333333333336,303.1499376724042,6.232759579916092e-05,0.0,2,0.0
0.678,28.25,303.1499416268739,5.837312608036882e-05,0.0,2,0.0
0.682,28.416666666666668,303.14994527151583,5.472848414456166e-05,0.0,2,0.0
0.686,28.583333333333336,303.1499490893947,5.0910605295939604e-05,0.0,2,0.0
0.6900000000000001,28.750000000000004,303.149952658523,4.7341476999918086e-05,0.0,2,0.0
0.6940000000000001,28.916666666666668,303.14995544808437,4.4551915607371484e-05,0.0,2,0.0
0.6980000000000001,29.083333333333336,303.1499596157689,4.03842310561231e-05,0.0,2,0.0
0.7020000000000001,29.250000000000004,303.14996161910045,3.83808995252366e-05,0.0,2,0.0
0.706,29.416666666666664,303.1499640222098,3.597779016217828e-05,0.0,2,0.0
0.71,29.583333333333332,303.14996722154353,3.2778456443338655e-05,0.0,2,0.0
0.714,29.749999999999996,303.1499687151583,3.1284841668366425e-05,0.0,2,0.0
0.718,29.916666666666664,303.14997044197673,2.955802324322576e-05,0.0,2,0.0
0.722,30.083333333333332,303.1499733759023,2.6624097699823324e-05,0.0,2,0.0
0.726,30.25,303.1499755358135,2.446418648105464e-05,0.0,2,0.0
0.73,30.416666666666664,303.1499763753471,2.362465289706961e-05,0.0,2,0.0
0.734,30.583333333333332,303.14997766240975,2.2337590223742154e-05,0.0,2,0.0
0.738,30.75,303.14997890061073,2.1099389243772748e-05,0.0,2,0.0
0.742,30.916666666666664,303.14998216657415,1.78334258293944e-05,0.0,2,0.0
0.746,31.083333333333332,303.14998315380353,1.6846196444930683e-05,0.0,2,0.0
0.75,31.25,303.1499835202666,1.6479733403684804e-05,0.0,2,0.0
0.754,31.416666666666668,303.14998430205446,1.569794551414816e-05,0.0,2,0.0
0.758,31.583333333333332,303.14998488173245,1.5118267526759155e-05,0.0,2,0.0
0.762,31.75,303.14998574680743,1.4253192546220816e-05,0.0,2,0.0
0.766,31.916666666666668,303.1499866563021,1.3343697901291307e-05,0.0,2,0.0
0.77,32.083333333333336,303.14998876624105,1.1233758925754955e-05,0.0,2,0.0
0.774,32.25,303.1499907540255,9.24597446783082e-06,0.0,2,0.0
0.778,32.416666666666664,303.14999097279286,9.02720711337679e-06,0.0,2,0.0
0.782,32.583333333333336,303.14999121599107,8.784008912243735e-06,0.0,2,0.0
0.786,32.75,303.14999121599107,8.784008912243735e-06,0.0,2,0.0
0.79,32.916666666666664,303.1499914825096,8.51749035746252e-06,0.0,2,0.0
0.794,33.083333333333336,303.14999177123815,8.228761828377174e-06,0.0,2,0.0
0.798,33.25,303.14999177123815,8.228761828377174e-06,0.0,2,0.0
0.802,33.41666666666667,303.1499920810661,7.918933874861978e-06,0.0,2,0.0
0.806,33.583333333333336,303.1499924108828,7.589117160478054e-06,0.0,2,0.0
0.81,33.75,303.1499927595781,7.240421894039173e-06,0.0,2,0.0
0.8140000000000001,33.91666666666667,303.1499935091616,6.490838359241025e-06,0.0,2,0.0
0.8180000000000001,34.083333333333336,303.14999390782896,6.092171020100068e-06,0.0,2,0.0
0.8220000000000001,34.25,303.14999474736254,5.252637436115037e-06,0.0,2,0.0
0.8260000000000001,34.41666666666667,303.1499956357579,4.364242101928539e-06,0.0,2,0.0
0.8300000000000001,34.583333333333336,303.149997040533,2.959466996799165e-06,0.0,2,0.0
0.834,34.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.838,34.916666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.842,35.08333333333333,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.846,35.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.85,35.416666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.854,35.58333333333333,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.858,35.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.862,35.916666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.866,36.083333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.87,36.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.874,36.416666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.878,36.583333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.882,36.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.886,36.916666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.89,37.083333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.894,37.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.898,37.416666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.902,37.583333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.906,37.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.91,37.916666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.914,38.083333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.918,38.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.922,38.416666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.926,38.583333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.93,38.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.934,38.91666666666667,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.9380000000000001,39.083333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.9420000000000001,39.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.9460000000000001,39.41666666666667,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.9500000000000001,39.583333333333336,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.9540000000000001,39.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.9580000000000001,39.91666666666667,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.962,40.08333333333333,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.966,40.25,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.97,40.416666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.974,40.58333333333333,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.978,40.75,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
0.982,40.916666666666664,303.15000000000003,-5.684341886080802e-14,0.0,2,nan
