pair,lag_samples,lag_s,te_bits,surr_mean_bits,surr_p95_bits,excess_te_bits
T_1D->Ux_1D,14,0.14,0.03901612122,0.03991521937,0.04828217215,0
T_1D->Ux_1D,15,0.15,0.03677825893,0.03902600952,0.04632083875,0
T_1D->Ux_1D,16,0.16,0.03665727308,0.04000723641,0.04894736398,0
T_1D->Ux_1D,17,0.17,0.03670790001,0.03991268419,0.04793128813,0
T_1D->Ux_1D,18,0.18,0.03690711023,0.03968043237,0.04688289991,0
T_1D->Ux_1D,19,0.19,0.03724283771,0.04042487298,0.05030064322,0
T_1D->Ux_1D,20,0.2,0.03771069951,0.03993328599,0.04823689903,0
T_1D->Ux_1D,21,0.21,0.03831258437,0.04103506251,0.04882156902,0
T_1D->Ux_1D,22,0.22,0.04469668285,0.04047596082,0.04967318261,0.004220722031
T_1D->Ux_1D,23,0.23,0.04614773265,0.04034413404,0.04696412322,0.005803598614
T_1D->Ux_1D,24,0.24,0.04776523341,0.0407120285,0.05077795635,0.00705320491
T_1D->Ux_1D,25,0.25,0.04959041082,0.04075946387,0.04972894413,0.008830946956
T_1D->Ux_1D,26,0.26,0.05168417628,0.04091704224,0.0495817876,0.01076713404
T_1D->Ux_1D,27,0.27,0.05414287538,0.04103893667,0.04859880127,0.01310393871
T_1D->Ux_1D,28,0.28,0.05713439517,0.04141130498,0.05226659206,0.0157230902
T_1D->Ux_1D,29,0.29,0.06099849591,0.04082093046,0.05086429321,0.02017756545
T_1D->Ux_1D,30,0.3,0.06663687441,0.04070310802,0.04866995597,0.02593376638
T_1D->Ux_1D,31,0.31,0.08034399408,0.04094086487,0.05032432063,0.03940312921
T_1D->Ux_1D,32,0.32,0.03009786814,0.04087109297,0.04875940155,0
T_1D->Ux_1D,33,0.33,0.02411098213,0.03942490149,0.04855308846,0
T_1D->Ux_1D,34,0.34,0.02458805609,0.04012384674,0.04765564967,0
T_1D->Ux_1D,35,0.35,0.02511768821,0.03945490636,0.04876541573,0
T_1D->Ux_1D,36,0.36,0.02571127947,0.03922273237,0.04763835064,0
T_1D->Ux_1D,37,0.37,0.02638433275,0.04045359839,0.04819315088,0
T_1D->Ux_1D,38,0.38,0.0271587038,0.04036021193,0.04743155172,0
T_1D->Ux_1D,39,0.39,0.02806666137,0.04029196821,0.04814422755,0
T_1D->Ux_1D,40,0.4,0.02915886684,0.04008583901,0.04919961063,0
Ux_3D->T_3D,1,0.01,0.08339553672,0.0648150894,0.07419387688,0.01858044733
Ux_3D->T_3D,2,0.02,0.08315272979,0.06574067204,0.07795336788,0.01741205775
Ux_3D->T_3D,3,0.03,0.09191458613,0.06443460614,0.07389752987,0.02747998
Ux_3D->T_3D,4,0.04,0.09027529484,0.06519528247,0.07886608489,0.02508001237
Ux_3D->T_3D,5,0.05,0.093411982,0.06651427752,0.07936862854,0.02689770447
Ux_3D->T_3D,6,0.06,0.08810763293,0.06422068942,0.07670973952,0.0238869435
Ux_3D->T_3D,7,0.07,0.08212713712,0.06553373333,0.07890767345,0.01659340379
Ux_3D->T_3D,8,0.08,0.08656068818,0.06483895616,0.07601643413,0.02172173201
Ux_3D->T_3D,9,0.09,0.1134132677,0.06581091596,0.07519714928,0.04760235174
Ux_3D->T_3D,10,0.1,0.1138737637,0.06625180564,0.07654796024,0.04762195801
Ux_3D->T_3D,11,0.11,0.1007604897,0.06607750167,0.07795660888,0.03468298807
Ux_3D->T_3D,12,0.12,0.08385545417,0.06631543791,0.07638104977,0.01754001625
Ux_3D->T_3D,13,0.13,0.07727444867,0.06587940815,0.07573420902,0.01139504053
Ux_3D->T_3D,14,0.14,0.06516850285,0.06729203909,0.07855677405,0
Ux_3D->T_3D,15,0.15,0.07298987381,0.06770357714,0.08014066616,0.005286296677
