phase_bin,phase_deg,x_m,x_mm,Nu_fin_z_min,Nu_fin_z_max
3,78.75,-0.0029368325,-2.9368325,5.761861589371144,5.698844230904116
3,78.75,-0.002590687500000001,-2.590687500000001,3.5093840312400495,3.517287817513866
3,78.75,-0.002244542500000001,-2.244542500000001,1.768809813724599,1.7722716151400568
3,78.75,-0.0018983975000000002,-1.8983975000000002,5.4434809813647025,5.448474709623477
3,78.75,-0.0015522525000000002,-1.5522525000000003,2.86955683815508,2.8749183892657624
3,78.75,-0.0012061075000000011,-1.2061075000000012,1.9371678776944752,1.939918169075448
3,78.75,-0.0008599625000000012,-0.8599625000000012,4.53270622638174,4.535545603511668
3,78.75,-0.0005138175000000004,-0.5138175000000004,2.092793861583757,2.09564646556778
3,78.75,-0.0001676725000000004,-0.1676725000000004,4.951688774923162,4.88496923607224
3,78.75,0.0001784724999999987,0.1784724999999987,1.2300811052548963,1.2310194695681522
3,78.75,0.0005246174999999987,0.5246174999999986,5.366694231315548,5.369835376605173
3,78.75,0.0008707624999999995,0.8707624999999994,4.697273109335193,4.71044214695299
3,78.75,0.0012169074999999994,1.2169074999999994,1.1763949840664707,1.1766283003664553
3,78.75,0.0015630524999999985,1.5630524999999986,3.877781849274365,3.878140064407607
3,78.75,0.0019091974999999994,1.9091974999999994,4.805028831674255,4.812830338860458
3,78.75,0.0022553425,2.2553425000000002,0.5255549120695234,0.525244771509886
3,78.75,0.0026014874999999993,2.6014874999999993,3.7536016268195067,3.7514863444429305
3,78.75,0.0029476324999999984,2.9476324999999983,4.1728611285351676,4.153294547653999
3,78.75,0.0032937774999999975,3.2937774999999974,3.3300835951073906,3.30254323188545
3,78.75,0.0036399224999999983,3.639922499999998,0.3601808417408302,0.35856905710102877
3,78.75,0.003986067499999999,3.986067499999999,3.732480262305552,3.7326255965044615
3,78.75,0.004332212499999998,4.332212499999998,3.168926204986692,3.1656351978878505
3,78.75,0.004678357499999999,4.678357499999999,0.14830052122770362,0.14834026234824668
3,78.75,0.0050245025,5.0245025,3.0560442388219022,3.0561440594292693
3,78.75,0.005370647499999999,5.370647499999999,2.637740503335257,2.63564261527669
3,78.75,0.005716792499999998,5.716792499999998,0.3030173527036136,0.3048218455810615
3,78.75,0.006062937499999997,6.062937499999997,2.2086896223961627,2.207826156959818
3,78.75,0.006409082499999998,6.409082499999998,2.3445330784990457,2.3489146747846052
3,78.75,0.006755227499999999,6.755227499999998,3.1235428637682676,3.1239589744384957
3,78.75,0.007101372499999998,7.101372499999998,nan,nan
3,78.75,0.007447517499999999,7.447517499999999,2.827776787367008,2.8267626990915145
3,78.75,0.0077936624999999995,7.7936625,3.225501563598692,3.2256267357153288
3,78.75,0.008139807499999999,8.139807499999998,nan,nan
3,78.75,0.008485952499999998,8.485952499999998,2.9313782967011686,2.927978900168063
3,78.75,0.008832097499999997,8.832097499999996,3.29115156401244,3.2843275725181162
3,78.75,0.009178242499999998,9.178242499999998,nan,nan
3,78.75,0.009524387499999998,9.524387499999998,3.0056493553829524,2.9875004612586116
3,78.75,0.009870532499999998,9.870532499999998,3.3408117413756093,3.3138015940629546
3,78.75,0.010216677499999998,10.216677499999998,3.090949573669969,3.0386162833402444
3,78.75,0.0105628225,10.5628225,nan,nan
3,78.75,0.010908967499999998,10.908967499999997,3.4264600265307954,3.3591806580296044
3,78.75,0.011255112499999997,11.255112499999997,3.245130271035644,3.131171943482812
3,78.75,0.011601257499999997,11.601257499999997,nan,nan
3,78.75,0.011947402499999997,11.947402499999997,3.624338733860517,3.4841030650988887
3,78.75,0.012293547499999998,12.293547499999999,3.5919533273735853,3.3644349062887917
3,78.75,0.012639692499999997,12.639692499999997,nan,nan
3,78.75,0.012985837499999998,12.985837499999999,4.297532329728129,3.98720023806253
3,78.75,0.013331982499999999,13.331982499999999,5.472768978178739,4.848882187021774
3,78.75,0.013678127499999998,13.678127499999999,3.2289638634094526,2.938056967622467
4,101.25,-0.0136673275,-13.667327499999999,13.017056294481465,13.017351593526259
4,101.25,-0.0133211825,-13.3211825,nan,nan
4,101.25,-0.012975037499999998,-12.975037499999997,21.816869994904074,21.817585697236996
4,101.25,-0.012628892499999999,-12.6288925,nan,nan
4,101.25,-0.0122827475,-12.2827475,nan,nan
4,101.25,-0.0119366025,-11.936602500000001,15.478269109958719,15.478659067562281
